name,total,white,hispanic,median_household_income
"Census Tract 300, Broomfield County, Colorado",3402,2371,551,69096
"Census Tract 301, Broomfield County, Colorado",2261,1667,366,85195
"Census Tract 302, Broomfield County, Colorado",2134,1457,405,79931
"Census Tract 303, Broomfield County, Colorado",3759,2752,579,63625
"Census Tract 304, Broomfield County, Colorado",3807,3109,353,118676
"Census Tract 305, Broomfield County, Colorado",5794,4262,526,150667
"Census Tract 306, Broomfield County, Colorado",6745,4008,2096,94099
"Census Tract 307, Broomfield County, Colorado",3120,2252,458,102639
"Census Tract 308, Broomfield County, Colorado",5777,3978,983,115170
"Census Tract 309, Broomfield County, Colorado",5964,4789,444,126014
"Census Tract 310, Broomfield County, Colorado",5886,4188,604,109507
"Census Tract 311.01, Broomfield County, Colorado",3219,2249,414,66658
"Census Tract 311.02, Broomfield County, Colorado",2008,1420,201,76496
"Census Tract 311.03, Broomfield County, Colorado",1983,1643,175,105350
"Census Tract 311.04, Broomfield County, Colorado",1505,1037,202,82407
"Census Tract 312.01, Broomfield County, Colorado",2576,1873,314,67476
"Census Tract 312.02, Broomfield County, Colorado",2762,2000,393,91398
"Census Tract 313, Broomfield County, Colorado",2578,2116,159,181313
"Census Tract 314.01, Broomfield County, Colorado",2199,2106,28,91389
"Census Tract 314.02, Broomfield County, Colorado",2016,1237,258,160417
"Census Tract 314.03, Broomfield County, Colorado",4617,3390,410,188003
"Census Tract 108.01, Jefferson County, Colorado",2512,2073,259,111156
"Census Tract 106.04, Jefferson County, Colorado",2497,1586,673,71490
"Census Tract 107.01, Jefferson County, Colorado",4159,3037,794,55000
"Census Tract 107.02, Jefferson County, Colorado",5187,2735,1973,57479
"Census Tract 109.01, Jefferson County, Colorado",5207,3910,712,83448
"Census Tract 109.02, Jefferson County, Colorado",3165,1925,780,54612
"Census Tract 110, Jefferson County, Colorado",5707,3915,1201,61939
"Census Tract 111.01, Jefferson County, Colorado",3380,2202,763,77979
"Census Tract 111.02, Jefferson County, Colorado",3242,1565,1250,42155
"Census Tract 112.02, Jefferson County, Colorado",5424,4070,940,82500
"Census Tract 113, Jefferson County, Colorado",3011,2135,639,72986
"Census Tract 114.01, Jefferson County, Colorado",2753,1297,1133,48024
"Census Tract 114.02, Jefferson County, Colorado",3906,2109,1349,48160
"Census Tract 115.51, Jefferson County, Colorado",4054,2335,1245,56250
"Census Tract 115.52, Jefferson County, Colorado",2962,1436,1146,32297
"Census Tract 116.01, Jefferson County, Colorado",3728,1623,1797,74934
"Census Tract 116.02, Jefferson County, Colorado",4245,1972,1871,56645
"Census Tract 117.01, Jefferson County, Colorado",4653,3299,946,81125
"Census Tract 117.02, Jefferson County, Colorado",5730,3759,1337,85450
"Census Tract 117.08, Jefferson County, Colorado",4199,3151,666,80169
"Census Tract 117.09, Jefferson County, Colorado",3449,2436,685,66997
"Census Tract 117.10, Jefferson County, Colorado",4113,2928,749,68902
"Census Tract 117.11, Jefferson County, Colorado",4281,3136,683,78846
"Census Tract 117.12, Jefferson County, Colorado",4188,3417,427,100313
"Census Tract 117.20, Jefferson County, Colorado",5147,4187,433,122240
"Census Tract 117.21, Jefferson County, Colorado",2719,2242,197,101950
"Census Tract 117.23, Jefferson County, Colorado",3310,2395,551,68519
"Census Tract 117.24, Jefferson County, Colorado",7559,6181,614,169702
"Census Tract 117.25, Jefferson County, Colorado",1740,1473,141,110179
"Census Tract 117.26, Jefferson County, Colorado",5767,4576,549,98988
"Census Tract 117.27, Jefferson County, Colorado",3735,2826,581,91425
"Census Tract 117.28, Jefferson County, Colorado",2713,2025,395,91029
"Census Tract 117.29, Jefferson County, Colorado",3815,2575,843,66792
"Census Tract 117.30, Jefferson County, Colorado",3706,2458,893,59871
"Census Tract 117.31, Jefferson County, Colorado",4364,3238,598,81528
"Census Tract 117.32, Jefferson County, Colorado",4466,3091,820,58720
"Census Tract 117.33, Jefferson County, Colorado",2339,1642,401,62946
"Census Tract 118.03, Jefferson County, Colorado",5275,2386,2184,72681
"Census Tract 118.04, Jefferson County, Colorado",4111,2194,1366,77102
"Census Tract 118.06, Jefferson County, Colorado",5320,2467,2251,45771
"Census Tract 118.07, Jefferson County, Colorado",2558,1654,548,63971
"Census Tract 118.08, Jefferson County, Colorado",2682,1481,875,63869
"Census Tract 119.04, Jefferson County, Colorado",3126,2027,733,59522
"Census Tract 119.51, Jefferson County, Colorado",4472,2661,1122,74417
"Census Tract 120.22, Jefferson County, Colorado",5540,4547,523,127658
"Census Tract 120.27, Jefferson County, Colorado",3114,2783,152,122500
"Census Tract 120.23, Jefferson County, Colorado",3453,2664,364,103125
"Census Tract 120.24, Jefferson County, Colorado",5750,4752,528,114926
"Census Tract 120.26, Jefferson County, Colorado",3495,3132,156,109688
"Census Tract 120.30, Jefferson County, Colorado",3842,3407,167,114479
"Census Tract 120.31, Jefferson County, Colorado",3779,3339,185,126719
"Census Tract 120.32, Jefferson County, Colorado",2647,2372,122,126250
"Census Tract 120.33, Jefferson County, Colorado",2821,2510,138,118333
"Census Tract 120.34, Jefferson County, Colorado",3999,3561,161,173393
"Census Tract 120.35, Jefferson County, Colorado",5161,4514,241,162474
"Census Tract 120.36, Jefferson County, Colorado",3729,3223,221,143155
"Census Tract 120.37, Jefferson County, Colorado",3466,3071,195,107188
"Census Tract 120.38, Jefferson County, Colorado",3605,2752,552,94375
"Census Tract 120.39, Jefferson County, Colorado",5272,4062,725,92359
"Census Tract 120.41, Jefferson County, Colorado",5682,4121,791,91038
"Census Tract 120.42, Jefferson County, Colorado",3935,3002,476,106250
"Census Tract 120.43, Jefferson County, Colorado",5878,4635,727,101587
"Census Tract 120.44, Jefferson County, Colorado",4057,3077,520,108098
"Census Tract 120.45, Jefferson County, Colorado",6017,4693,706,119853
"Census Tract 120.46, Jefferson County, Colorado",2327,1738,377,101912
"Census Tract 120.47, Jefferson County, Colorado",4180,3063,713,97857
"Census Tract 120.48, Jefferson County, Colorado",2479,1975,310,78011
"Census Tract 120.49, Jefferson County, Colorado",3840,3070,378,120714
"Census Tract 120.50, Jefferson County, Colorado",4127,3040,442,88424
"Census Tract 120.51, Jefferson County, Colorado",3616,3103,275,114844
"Census Tract 120.52, Jefferson County, Colorado",5558,4316,728,98287
"Census Tract 120.53, Jefferson County, Colorado",3877,3087,451,104558
"Census Tract 120.54, Jefferson County, Colorado",4139,3364,417,138750
"Census Tract 120.55, Jefferson County, Colorado",3877,3130,440,102473
"Census Tract 120.57, Jefferson County, Colorado",5783,4616,655,82310
"Census Tract 120.58, Jefferson County, Colorado",3955,3480,186,104669
"Census Tract 120.59, Jefferson County, Colorado",3428,2730,417,96250
"Census Tract 120.60, Jefferson County, Colorado",3350,2559,433,84387
"Census Tract 158, Jefferson County, Colorado",4384,3192,675,70046
"Census Tract 159, Jefferson County, Colorado",3477,2120,881,63663
"Census Tract 603, Jefferson County, Colorado",4512,3162,593,100547
"Census Tract 604, Jefferson County, Colorado",5420,3816,891,95361
"Census Tract 605.01, Jefferson County, Colorado",10399,8234,1070,137467
"Census Tract 45.04, Denver County, Colorado",3881,596,3022,51083
"Census Tract 45.05, Denver County, Colorado",4549,516,3593,34000
"Census Tract 45.06, Denver County, Colorado",3610,490,2477,33958
"Census Tract 46.01, Denver County, Colorado",5666,1573,3632,69877
"Census Tract 46.02, Denver County, Colorado",6688,1358,4601,41911
"Census Tract 46.03, Denver County, Colorado",5324,1889,2951,63772
"Census Tract 47, Denver County, Colorado",6172,2134,3420,74831
"Census Tract 48.01, Denver County, Colorado",3077,1321,1438,82716
"Census Tract 50.01, Denver County, Colorado",2869,1820,451,80893
"Census Tract 50.03, Denver County, Colorado",2744,1640,387,49192
"Census Tract 50.04, Denver County, Colorado",4687,2443,791,45823
"Census Tract 51.02, Denver County, Colorado",3506,2570,526,102875
"Census Tract 51.04, Denver County, Colorado",3470,2039,666,55287
"Census Tract 52, Denver County, Colorado",3338,2452,421,90278
"Census Tract 53, Denver County, Colorado",1859,1378,208,61471
"Census Tract 55.02, Denver County, Colorado",1868,899,657,79545
"Census Tract 55.03, Denver County, Colorado",5071,2973,1516,90625
"Census Tract 67.01, Denver County, Colorado",4282,3092,485,86786
"Census Tract 68.13, Denver County, Colorado",4550,2161,815,52894
"Census Tract 68.04, Denver County, Colorado",3776,2847,359,92568
"Census Tract 68.10, Denver County, Colorado",5928,3396,893,56991
"Census Tract 68.12, Denver County, Colorado",3932,2992,404,68452
"Census Tract 68.14, Denver County, Colorado",5409,2608,1713,59151
"Census Tract 68.15, Denver County, Colorado",2017,1581,133,109583
"Census Tract 68.16, Denver County, Colorado",5511,3700,756,53610
"Census Tract 68.17, Denver County, Colorado",2048,1497,227,120987
"Census Tract 68.18, Denver County, Colorado",4221,2608,746,59616
"Census Tract 69.02, Denver County, Colorado",3638,1939,833,52288
"Census Tract 69.03, Denver County, Colorado",2475,1494,472,63088
"Census Tract 70.06, Denver County, Colorado",4431,1216,1419,47302
"Census Tract 70.13, Denver County, Colorado",3730,2498,490,75369
"Census Tract 70.37, Denver County, Colorado",4128,1180,1402,44610
"Census Tract 70.88, Denver County, Colorado",4921,2469,1094,54879
"Census Tract 70.90, Denver County, Colorado",1542,585,186,42563
"Census Tract 70.91, Denver County, Colorado",3497,2782,214,33398
"Census Tract 83.04, Denver County, Colorado",3846,302,2580,64375
"Census Tract 83.05, Denver County, Colorado",4253,316,3123,61773
"Census Tract 83.06, Denver County, Colorado",6005,458,3574,48135
"Census Tract 83.12, Denver County, Colorado",8133,639,4889,59914
"Census Tract 83.86, Denver County, Colorado",4664,318,3304,68155
"Census Tract 83.87, Denver County, Colorado",6220,430,4216,85588
"Census Tract 83.88, Denver County, Colorado",14773,3207,6766,76128
"Census Tract 83.89, Denver County, Colorado",13336,2740,5032,87159
"Census Tract 83.90, Denver County, Colorado",9000,1404,3684,76571
"Census Tract 83.91, Denver County, Colorado",7855,1224,3416,78595
"Census Tract 119.02, Denver County, Colorado",6682,3151,2779,45750
"Census Tract 119.03, Denver County, Colorado",2304,1305,745,81071
"Census Tract 120.01, Denver County, Colorado",2047,1428,447,76902
"Census Tract 120.10, Denver County, Colorado",5121,3699,755,73975
"Census Tract 120.15, Denver County, Colorado",4014,2644,874,70127
"Census Tract 120.16, Denver County, Colorado",2659,1822,543,61707
"Census Tract 153, Denver County, Colorado",3697,2469,556,54147
"Census Tract 154, Denver County, Colorado",4487,2914,1156,81984
"Census Tract 155, Denver County, Colorado",3399,1998,813,50520
"Census Tract 156, Denver County, Colorado",6618,1131,4414,69000
"Census Tract 157, Denver County, Colorado",5907,2249,2840,68305
"Census Tract 158, Denver County, Colorado",2893,634,847,56981
"Census Tract 9802, Denver County, Colorado",252,184,41,86875
"Census Tract 139.04, Douglas County, Colorado",4198,3103,557,71183
"Census Tract 139.05, Douglas County, Colorado",5468,4164,673,80128
"Census Tract 139.07, Douglas County, Colorado",6177,4787,656,104333
"Census Tract 139.12, Douglas County, Colorado",7399,5993,694,110147
"Census Tract 139.09, Douglas County, Colorado",6407,5447,462,106811
"Census Tract 139.10, Douglas County, Colorado",8222,6571,740,151314
"Census Tract 139.11, Douglas County, Colorado",6693,5485,586,146575
"Census Tract 139.13, Douglas County, Colorado",2660,2193,196,144223
"Census Tract 139.14, Douglas County, Colorado",3757,3293,207,135849
"Census Tract 139.15, Douglas County, Colorado",3177,2736,226,116016
"Census Tract 140.05, Douglas County, Colorado",4761,3642,497,118914
"Census Tract 140.06, Douglas County, Colorado",7394,5637,640,145638
"Census Tract 140.07, Douglas County, Colorado",3425,2073,410,80598
"Census Tract 140.08, Douglas County, Colorado",11741,8397,996,138720
"Census Tract 140.09, Douglas County, Colorado",4741,3311,564,116607
